name,tweets,followers_count
JenSmithWashU,431,347
wustlsoc,406,235
BetsySinclair1,199,1391
TheAtlantic,170407,1810212
keithschnak,5767,1261
ianRturner,897,1245
gregjwhitfield,925,242
BetulD_,8,52
dalston_gawain,588,84
jeonghkim1,44,120
Jktboston,118,172
MattC15,2933,187
STLFilmFest,2685,2581
alucardi1,14705,1125
mhseo88,10,126
jeffreymziegler,851,189
michtorresp,249,729
joncrogowski,50,492
senecadoane,1969,171
WUSTLBio,530,660
matt_devoll,654,196
WashURec,849,565
WUSTLAnthro,937,595
mirandayaver,66213,12819
ScholarBridge,526,242
justinfoxstl,0,64
AmyHC,1091,432
rlcalv,58,55
POTUS44,352,14975322
POTUS,6744,26499112
LarryvilleLaw1,71775,1356
the_noblest,54,75
WUSTL_CIO,794,389
prof_nokken,9133,626
Scotty_Jacobs,90,102
GayleGeren,6570,742
usmanfalalu1,1473,30
OlinWCC,1532,1075
wustlisp,3185,1371
RiaHan94,196,56
PSA_APG,516,1133
wustlsts,551,472
washudems,66,306
pol_economist,786,412
wustlconnect,2,195
WUSTLGephardt,1507,1229
SJGivensSTL,952,594
LeftBankBooks,7864,9973
SaintLouCo,7474,11989
holdenWU,4689,7787
WUPSSA,57,66
WUPR,1139,507
wustl_reslife,506,993
ReligPolitics,7087,12517
RiverfrontTimes,51730,119913
NewYorker,97841,8700583
WUSTLTTC,1391,532
jwpatty,321,3188
OlinBSBA,613,417
SLCL,19629,11619
WU_DAC,39,156
TIME,325735,16191638
WUCS40,77,185
WUSTLEconAC,639,132
ClarissaHayward,6797,884
AP,248911,13467500
washingtonpost,327181,14033244
explorestlouis,10064,66110
nytimes,369060,43933936
DanforthCenter,8543,10534
APSAtweets,6214,26921
ProfStevenSmith,38,2685
WashUengineers,7352,4911
kemperartmuseum,3767,46019
WUSTLcso,199,806
BrownSchool,2846,4327
WUSTLdigital,97,462
washu_su,1390,1842
EdisonTheatre,376,620
WUSTLdining,810,668
washuSWI,305,204
SamFoxSchool,9808,2351
WUSTL_English,461,267
studlife,9145,5972
WashULaw_online,394,1634
SkandalarisCtr,3440,2967
StlArtMuseum,5291,27262
WUSTLDUC,5,73
TheNineNetwork,24158,19999
ForestPark4Ever,7884,8632
WUSTLoiss,771,843
WashUsummer,769,514
WashULaw,7270,2183
ArtStLouis,7246,4490
stlzoo,4755,82092
WUSTLSPB,630,806
mobotgarden,10996,46214
mohistorymuseum,10970,25076
ajreeves,149,1383
slso,9789,37304
STLScienceCtr,8943,24644
WUSTLGlobalHlth,18,63
WustlSAAP,39,50
CtrRelPol,2467,1930
farmplicity,603,434
studlifesports,4791,609
WashUOUTLaw,214,204
WashUNews,35,164
fulbrightboard,4757,10477
FulbrightSchlrs,9071,28984
IRRT_WUSTL,343,46
WomensSocietyWU,32,123
WUSTLDC,198,62
WUProSPER,21,80
WUSTLCompliment,1,43
UCampusWustl,3,351
DOTwustl,16,53
WashU_Habif,939,441
gpc_wustl,368,325
ProfWrightonWU,1512,4489
WUSTLbusiness,6319,4238
WashUAlumni,4626,2577
WUFYC,1388,970
HouseFloor,60712,491931
SenateFloor,11281,554166
TheJusticeDept,9611,1642267
StateDept,61177,5394531
DeptofDefense,26241,5869420
UN,70248,11322002
ObamaWhiteHouse,28351,13162037
WhiteHouse,10629,18931589
BearBucksWUSTL,2602,322
WUSTLJobs,151,299
AMCS_WU,750,467
WUSTLpubhealth,4982,2050
wupad,612,546
WUSTL_thinks,1895,546
WUSTLPostdoc,2299,1050
WUSTLmed,7927,15035
WUSTLSustain,1296,1283
WUSTLArtSci,7551,2471
WASHUBears,21643,5968
WUSTLlibraries,4027,1775
WUSTLSIS,1840,831
WUGetInvolved,1356,578
WUSTLnews,12194,9331
WUSTLcareers,2275,3782
WUSTLucollege,2032,2186
WUSTL,10365,32792
stltoday,154733,249686
BarackObama,15668,107928407
